prog_id,session_id,Solution add project,Com refactorings,Window event move,Debugger exception not handles,System event remote disconnect,Com solution explorer,Com team,Com debug,Com unknown,Document saved,Com resources,IDE state shutdown,Com tree model browser,Test run event,Com type hierarchy,Completion Event,Edit event 10 or more changes,Debugger run,Solution close solution,Com help,Com window,Com tools,Com OBS,Com mercurial,Window event activate,Build event clean,Com supercharger,Com build,Com completion,System event unlock,Debugger break,Com close,Com architectureDesigner,Com KaVE,Com NCrunch,Window event close,Com bookmarks,Debugger exception thrown,Com code maid,Com generate,Com view,Window event create,Solution rename solution,Build event unknown,IDE state startup,Edit event less than 5 changes,Version control event,Com visual svn,Com architecture context menues,Solution remove project,Com choose language,Document opened,Edit event 5 to 9 changes,Navigation event keyboard,Build event build,Com project,System event lock,Debugger design,Com SQL,Com textcontrol,Com bulb action,Solution rename project,Com find usages,Find complete,Build event rebuild all,Com edit,System event resume,Solution add project item,Document close,Com NuGet,Com ViEmu,Com other context menues,Activity Event,Com continuous testing,Com save,System event remote connect,Com test explorer,Find cancelled,Solution add solution item,Window event deactivate,Solution open solution,Com file,Com unit test,Solution remove solution item,System event suspend,Com JetBrains,Navigation event ctrl click,Solution rename project item,Navigation event click,Com unit test session
0,c33463ea-8592-45d3-a821-8e194f15bfd1,100,0,23,0,0,0,0,1549,3,0,0,0,0,0,0,0,0,0,1,0,0,0,979,0,12,0,0,0,0,1,0,2,0,1,0,5,0,0,0,0,2,7,0,0,1,6,2,0,0,0,0,7,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,24,0,0,0,0,0,168,0,2,2,0,0,0,0,0,0,1,0
0,f2d01c7c-5ef3-471f-8344-a136c22a1932,50,0,50,0,0,0,0,1896,5,29,0,0,0,0,0,0,16,0,1,2,0,2,1017,0,42,0,0,0,0,2,0,1,0,1,0,12,0,0,0,0,0,11,0,0,1,70,1,0,0,0,0,11,71,1,0,0,2,0,0,207,0,0,0,0,0,1071,0,6,12,0,0,0,113,0,0,0,0,0,84,0,1,61,0,0,0,0,0,0,1,0
0,3c346752-38b4-4c86-aa6d-922f81bb8f0b,45,0,58,0,0,0,0,1253,8,1,0,1,1,1,0,0,3,0,1,0,2,4,645,0,57,0,0,0,0,4,0,0,0,0,0,14,0,0,0,0,2,13,0,0,1,10,0,0,0,0,0,13,4,1,1,0,4,0,0,30,0,0,0,2,0,100,0,1,14,0,0,0,76,0,0,0,1,0,43,13,1,5,2,0,0,0,0,0,14,4
0,b4ce04a9-4a0d-4678-866b-0191aea46ce3,1,0,31,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,1,0,0,4,1110,0,32,0,0,0,0,6,0,0,0,0,0,41,0,0,0,0,2,41,0,0,1,2,0,0,0,0,2126,39,0,0,0,7,6,0,0,1,0,0,0,0,0,4,0,2,13,0,0,0,34,0,0,0,0,0,0,10,1,38,0,0,0,0,0,0,0,0
0,619016f5-d429-4190-9837-c90772e5224c,95,0,67,0,0,4,0,1268,8,1,0,1,0,1,0,0,3,0,2,0,1,0,669,0,63,0,0,0,0,3,0,0,0,0,0,37,0,0,0,0,0,29,0,0,1,13,3,0,0,0,0,29,9,7,1,0,3,0,0,28,0,0,0,4,0,176,0,0,37,0,0,0,128,0,0,0,0,0,173,10,2,5,0,0,0,0,0,0,8,0
0,63138f70-25dd-4d75-9d35-7dff6b8f2212,50,0,9,0,0,0,0,1218,0,0,0,1,0,0,0,0,0,0,1,0,0,0,695,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,0,0,0,0,0,84,0,1,1,0,0,0,0,0,0,0,0
0,8a58b62b-e259-4218-a70e-17285d49cfc6,102,0,28,0,0,0,0,1748,14,0,0,1,0,0,0,0,0,0,2,0,0,0,984,0,26,0,0,0,0,2,0,2,0,0,0,4,0,0,0,0,12,4,0,0,1,4,3,0,0,0,0,4,0,19,0,0,2,0,0,2,0,0,7,0,0,36,0,0,4,0,0,0,62,0,0,0,0,0,170,0,2,1,0,0,0,0,0,0,7,0
0,d3b76aa2-57ba-48b6-ae9a-2bdb8385ee1d,53,0,9,0,0,0,0,820,1,0,0,1,0,0,0,0,7,0,1,0,0,0,509,0,8,0,0,2,0,0,0,1,0,1,0,3,0,0,0,0,0,3,0,0,1,8,1,0,0,0,0,3,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,20,0,0,0,0,0,87,0,1,1,0,0,0,0,0,0,2,0
1,e57d365c-6a98-42cb-a58f-d5be7a5ce79b,12,0,199,0,0,0,0,184,442,264,0,1,1,79,0,532,139,66,1,0,1,0,0,0,383,0,0,93,334,0,65,0,1,0,0,76,0,0,0,0,0,52,0,0,1,374,4,0,0,0,0,52,466,601,0,2,0,16,0,838,0,0,3,0,0,2402,0,2,85,0,0,0,568,0,6,0,0,0,0,31,1,715,67,0,0,12,18,0,158,2
1,7b01b2fb-4073-4f71-bb4b-563ca2e5f49d,0,0,259,2,10,0,0,196,422,251,0,0,0,7,1,417,139,22,3,0,2,0,0,0,374,0,0,167,213,0,16,0,1,4,0,98,0,0,0,0,16,38,0,0,1,370,10,0,0,0,0,30,450,527,1,4,0,11,0,839,0,0,4,0,0,2430,0,0,91,0,0,0,643,0,4,10,0,0,0,106,4,707,2,0,0,27,23,0,191,2
