prog_id,session_id,Edit event less than 5 changes,Solution add project,Window event move,Version control event,Debugger exception not handles,System event remote disconnect,Solution remove project,Document saved,IDE state shutdown,Document opened,Edit event 5 to 9 changes,Navigation event keyboard,Build event build,Test run event,System event lock,Completion Event,Debugger design,Edit event 10 or more changes,Debugger run,Solution close solution,Solution rename project,Find complete,Window event activate,Build event rebuild all,System event resume,Solution add project item,Document close,Build event clean,Activity Event,System event remote connect,System event unlock,Debugger break,Find cancelled,Solution add solution item,Window event deactivate,Solution open solution,Solution remove solution item,System event suspend,Window event close,Debugger exception thrown,Navigation event ctrl click,Solution rename project item,Window event create,Solution rename solution,Build event unknown,Comand event,Navigation event click,IDE state startup
0,45d06f62-c6aa-45fa-af11-505cfe0e1930,4.245703359032681E-6,0.004713026775575578,9.264651540190355E-7,1.8676535451336433E-4,0.0,0.0,2.1763803820978647E-4,0.0,0.0,0.0,1.59116361273139E-5,0.0,0.0,0.0,4.339865973586473E-4,0.0,0.0,7.309761846494051E-5,0.0,2.807345236861436E-5,0.0,0.0,-6.613566852961183E-8,1.771885288449568E-4,0.0,0.0,0.0,0.0,5.955847567863506E-7,0.0,4.364408920682282E-4,0.0,0.0,0.007816779457654218,0.0,1.5392864970128784E-5,4.462455833945409E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.884837898655553E-4,0.0,1.3394981746494196E-5
0,a7003aaa-6443-4d35-95c4-63b82155594d,2.58379417749704E-6,0.0,1.3531582046189486E-5,0.0,0.0,0.0,0.0,2.1261044255689712E-4,2.405666187831978E-4,2.414303568070391E-4,0.0,0.0,0.0,0.0,4.2257575832581687E-4,0.0,0.0,0.0,0.0,1.3667657231482605E-4,0.0,0.0,-8.371578508014791E-6,0.0,0.0,6.83874672518786E-4,1.3763497124281998E-4,0.0,1.5142485042002678E-5,0.0,4.2496552209817396E-4,0.0,0.0,7.928387303702764E-4,0.0012408540126455,7.494069466761492E-5,0.0,0.0,7.444594166804245E-4,0.0,0.0,0.0023793352285262862,2.0843826453793908E-4,0.0,0.0,-2.3408221704719582E-4,0.0,6.521393120061251E-5
0,309456e3-29dd-498d-b922-ed2d816533e8,0.0,0.0,1.7989382730044527E-6,0.0,0.0,0.0,0.0,0.0,2.6864720680873925E-4,0.0,0.0,0.0,0.0,0.0,0.0023595084703988125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0787038004692757E-6,0.0,0.0,0.0,0.0,0.0,2.1587258997603313E-6,0.0,0.0023728520372079177,0.0,0.0,0.0,4.6189832188184515E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.88733057572468E-4,0.0,7.282614915850279E-5
0,77fa3202-a57a-45a1-9e8a-39d99e25592e,4.580736486026594E-6,0.0043391459607657005,9.012027530225178E-6,8.955697935143551E-5,0.0,0.0,0.0,2.0940616195874056E-5,4.738820137801995E-5,7.133751830936812E-6,0.0,0.0,4.2935846055538455E-5,0.0,0.0010821383788171812,0.0,5.699508766190825E-5,0.0,5.675991061606399E-5,5.384668051845983E-5,0.0,0.0,-1.5222294353286108E-6,0.0,0.0,0.0,5.964668923843353E-5,0.0,4.3790839489277915E-6,0.0,0.0010882581219482594,0.0,0.0,0.013275126743768503,0.0,2.952450134836147E-5,0.0,0.0,2.79329369527098E-5,0.0,0.0,0.0,6.158905909554872E-6,0.0,0.0,-2.71147128238169E-4,0.0,1.2846216653076261E-5
0,8ae87b46-d67c-40b0-ad92-6733fa163ca7,3.280475557999543E-4,0.005352959313131196,1.806765366633077E-6,2.039656432776185E-4,0.0,0.0,0.0,0.0,5.396321452462118E-5,2.707848229636512E-6,1.1584685908922079E-5,7.065509718877522E-5,0.0,0.0,2.843729493491126E-4,0.0,6.490303604930059E-5,0.0,6.46352286836037E-5,6.131779404491506E-5,0.0,0.0,-2.166794405266267E-7,0.0,0.0,0.0,1.2349552662553198E-5,0.0,1.1563298346451692E-6,0.0,2.859811442320497E-4,0.0,0.0,0.015117021513950621,0.0,3.362096373493272E-5,0.0,0.0,1.590428656552632E-5,0.0,0.0,0.0,2.337813658075616E-6,0.0,0.0,-2.428976489344275E-4,0.0,1.4628602160901021E-5
0,36b3d5c7-4b1e-44f8-82a9-f3bfc9db91c8,2.9943221801365656E-5,0.004806879719030803,5.959565990756715E-6,5.066077686606593E-4,0.0,0.0,0.0,1.4214876483694178E-4,5.3613308468107E-5,4.304464178399354E-5,2.819844382462917E-4,0.0,2.914564417271734E-4,4.1158224237964995E-4,0.0,0.0,6.448219445192972E-5,8.248445358771258E-4,6.421612359174056E-5,3.046009986315732E-5,0.0,0.0,-8.323945864249573E-6,0.0,0.0,0.0,2.2085058946144496E-4,0.0,9.111673801299972E-5,0.0,0.0,0.0,0.0,0.015019000130568025,0.0016131498159011584,1.6701480032231645E-5,0.0,0.0,2.9232149298924525E-4,0.0,0.0,0.0,3.948513278618685E-5,0.0,0.0,-1.605229890346456E-4,2.8737716318750565E-5,1.4533747980335104E-5
0,89bec1cb-7be3-43c5-b719-e526a4c72359,2.2493067616160392E-5,0.03755318390830278,8.414170620465293E-6,7.91562743259084E-4,0.0,0.0,0.0,0.0,4.1884769844348395E-4,8.407030668642159E-5,0.0,1.8280184073242946E-4,0.0,0.0,7.357416614492499E-4,0.0,0.0,0.0,0.0,2.3796596566376E-4,0.0,0.0,-8.409032223220674E-6,0.0,0.0,0.0,3.354884645548571E-4,0.0,1.963306570925275E-5,0.0,7.399024509259373E-4,0.0,0.0,0.1173341819467226,0.00252050888474336,1.3047835830279667E-4,0.0,0.0,4.320565145560293E-4,0.0,0.0,0.0,7.25818785037686E-5,0.0,0.0,-1.6201401812545894E-4,5.612751144517934E-4,1.1354320532078756E-4
0,ac28aa1d-2d66-4244-86e0-cb9a38159244,2.4617670316552078E-6,0.00641281328309189,3.683575417677747E-6,0.0,0.0,0.0,0.0,0.0,7.640172169995035E-5,3.067041408394962E-5,0.0,1.333790340859398E-4,0.0,0.0,5.368245294888684E-4,0.0,0.0,0.0,0.0,4.340720875455816E-5,0.0,0.0,-2.249699187594553E-6,0.0,0.0,2.1719223835669701E-4,7.868085254594668E-5,0.0,3.5812539092367117E-6,0.0,5.398603965195938E-4,0.0,0.0,0.010575524654862072,0.0,2.3800467940882775E-5,0.0,0.0,1.0132859548063541E-4,0.0,0.0,0.0,2.647922145692672E-5,0.0,0.0,-2.7466781197425127E-4,6.142908544200571E-5,2.07113382885394E-5
0,2dad115f-fada-47c7-88ab-a6dc1dc6231a,7.93960597157788E-6,0.011751355007878612,1.0560124987828488E-5,0.0,0.0,0.0,0.0,0.0,2.464081929961912E-4,4.945857989006463E-5,0.0,0.0,2.2325692754009165E-4,0.0,8.656739620794996E-4,0.0,0.0,1.4580797052317034E-4,0.0,1.3999542987034645E-4,0.0,0.0,-8.245059585334843E-6,0.0,0.0,0.0,1.1278167850814839E-4,0.0,1.0560124987828488E-5,0.0,8.705695488056443E-4,0.0,0.0,8.120908872398349E-4,0.0012709850833168169,7.67604468497274E-5,0.0,0.0,1.8155638744041494E-4,0.0,0.0,0.0,5.3374918833402465E-5,0.0,0.0,-2.483411990069298E-4,0.0,6.679749263052454E-5
0,7639de18-b8d5-4593-88f5-8d8f4f700719,1.3158444499626607E-4,0.0,1.0533295761933144E-5,2.8584210718977666E-4,0.0,0.0,0.0,1.6709221595361172E-4,1.512505606589508E-4,1.5179361219298857E-5,3.7340597981074853E-4,3.300588740590028E-4,9.592787461876823E-4,0.0,0.0,0.0015414634844780409,0.0010914790879463809,4.0275005029218947E-4,0.002717438379893239,8.593215590809528E-5,0.0,0.0,-2.024396682404246E-6,0.0,0.0,0.0,6.922777972191315E-5,0.0,1.620506963188143E-5,0.0,0.0,0.0023070855630008685,0.0,0.0,0.0,0.0,0.0,0.0,4.457726028939455E-5,0.0,0.0,0.0,1.3105061646717083E-5,0.0,0.0,-2.315909825819743E-4,1.62146147270675E-4,4.100171381531595E-5
